"","rate","approx_cost.for.two.people.","online_order","book_table","votes","listed_in.type.","listed_in.city.","Cuisines_Categorical","Restaurant_type"
"1",4.1,800,"Yes","Yes",775,"Buffet","Banashankari","Indian","Casual Dining"
"2",4.1,800,"Yes","No",787,"Buffet","Banashankari","Indian","Casual Dining"
"3",3.8,800,"Yes","No",918,"Buffet","Banashankari","Mexican","Cafe"
"4",3.7,300,"No","No",88,"Buffet","Banashankari","Indian","Quick Bites"
"5",3.8,600,"No","No",166,"Buffet","Banashankari","Indian","Casual Dining"
"6",3.8,600,"Yes","No",286,"Buffet","Banashankari","Indian","Casual Dining"
"7",3.6,800,"No","No",8,"Buffet","Banashankari","Indian","Casual Dining"
"8",4.6,600,"Yes","Yes",2556,"Cafes","Banashankari","Bar Food","Cafe"
"9",4,700,"Yes","No",324,"Cafes","Banashankari","Dessert","Cafe"
"10",4.2,550,"Yes","No",504,"Cafes","Banashankari","Asian","Cafe"
"11",4.1,500,"Yes","No",402,"Cafes","Banashankari","Dessert","Cafe"
"12",4.2,600,"Yes","Yes",150,"Cafes","Banashankari","Dessert","Cafe"
"13",4.2,500,"Yes","Yes",164,"Cafes","Banashankari","Asian","Cafe"
"14",4,450,"No","No",424,"Cafes","Banashankari","Dessert","Cafe"
"15",3.8,800,"Yes","No",918,"Cafes","Banashankari","Mexican","Cafe"
"16",3.8,650,"Yes","No",90,"Cafes","Banashankari","Dessert","Cafe"
"17",3.9,800,"Yes","No",133,"Cafes","Banashankari","Asian","Cafe"
"18",3.8,700,"Yes","No",144,"Cafes","Banashankari","Asian","Cafe"
"19",3.9,300,"No","No",93,"Cafes","Banashankari","American","Cafe"
"20",3.1,400,"Yes","No",13,"Cafes","Banashankari","Asian","Cafe"
"21",3,400,"Yes","No",62,"Cafes","Banashankari","Indian","Cafe"
"22",3.7,500,"Yes","No",180,"Cafes","Banashankari","Fast Food","Cafe"
"23",3.6,900,"No","No",28,"Cafes","Banashankari","Fast Food","Cafe"
"24",3.6,600,"Yes","No",62,"Cafes","Banashankari","Fast Food","Cafe"
"25",3.7,300,"No","No",31,"Cafes","Banashankari","Dessert","Cafe"
"26",3.2,600,"No","No",11,"Cafes","Banashankari","Dessert","Cafe"
"27",3.8,200,"Yes","No",75,"Cafes","Banashankari","Indian","Cafe"
"28",3.3,500,"No","No",4,"Cafes","Banashankari","Fast Food","Cafe"
"29",3.3,550,"No","No",23,"Cafes","Banashankari","Fast Food","Cafe"
"30",3.8,550,"No","No",148,"Cafes","Banashankari","Indian","Cafe"
"31",4,600,"Yes","No",219,"Cafes","Banashankari","Dessert","Cafe"
"32",2.8,500,"Yes","No",506,"Delivery","Banashankari","Indian","Quick Bites"
"33",3.9,500,"Yes","No",35,"Delivery","Banashankari","Dessert","Delivery"
"34",3.9,750,"Yes","No",172,"Delivery","Banashankari","Bar Food","Delivery"
"35",4.2,500,"Yes","No",415,"Delivery","Banashankari","Indian","Quick Bites"
"36",3.9,650,"Yes","No",230,"Delivery","Banashankari","Indian","Delivery"
"37",2.8,400,"Yes","No",91,"Delivery","Banashankari","Indian","Quick Bites"
"38",4.2,600,"Yes","No",1647,"Delivery","Banashankari","Asian","Casual Dining"
